This algorithm checks if G_PQ = 0 for relevant varieties.
The number Omega of essential conditions is fixed
and the condition I[1] < ... < I[Omega] < K <= J[1] <
< ... < J[Omega] < L is imposed.
I := [1], K := 2, J := [3], L := 4
I := [1], K := 2, J := [4], L := 5
I := [2], K := 3, J := [4], L := 5
I := [1], K := 3, J := [4], L := 6
I := [2], K := 3, J := [4], L := 6
I := [1], K := 2, J := [5], L := 6
I := [2], K := 3, J := [5], L := 6
I := [3], K := 4, J := [5], L := 6
I := [1], K := 3, J := [5], L := 7
I := [2], K := 3, J := [5], L := 7
I := [2], K := 4, J := [5], L := 7
I := [3], K := 4, J := [5], L := 7
I := [1], K := 2, J := [6], L := 7
I := [2], K := 3, J := [6], L := 7
I := [3], K := 4, J := [6], L := 7
I := [4], K := 5, J := [6], L := 7
I := [1], K := 4, J := [5], L := 8
I := [2], K := 4, J := [5], L := 8
I := [3], K := 4, J := [5], L := 8
I := [1], K := 3, J := [6], L := 8
I := [2], K := 3, J := [6], L := 8
I := [2], K := 4, J := [6], L := 8
I := [3], K := 4, J := [6], L := 8
I := [3], K := 5, J := [6], L := 8
I := [4], K := 5, J := [6], L := 8
I := [1], K := 2, J := [7], L := 8
I := [2], K := 3, J := [7], L := 8
I := [3], K := 4, J := [7], L := 8
I := [4], K := 5, J := [7], L := 8
I := [5], K := 6, J := [7], L := 8
I := [1], K := 4, J := [6], L := 9
I := [2], K := 4, J := [6], L := 9
I := [3], K := 4, J := [6], L := 9
I := [2], K := 5, J := [6], L := 9
I := [3], K := 5, J := [6], L := 9
I := [4], K := 5, J := [6], L := 9
I := [1], K := 3, J := [7], L := 9
I := [2], K := 3, J := [7], L := 9
I := [2], K := 4, J := [7], L := 9
I := [3], K := 4, J := [7], L := 9
I := [3], K := 5, J := [7], L := 9
I := [4], K := 5, J := [7], L := 9
I := [4], K := 6, J := [7], L := 9
I := [5], K := 6, J := [7], L := 9
I := [1], K := 2, J := [8], L := 9
I := [2], K := 3, J := [8], L := 9
I := [3], K := 4, J := [8], L := 9
I := [4], K := 5, J := [8], L := 9
I := [5], K := 6, J := [8], L := 9
I := [6], K := 7, J := [8], L := 9
I := [1], K := 5, J := [6], L := 10
